Results
algorithm = MergeSort3Way, size = 1, seed = 4, time = 1384 ms
algorithm = MergeSort3Way, size = 1, seed = 5, time = 1273 ms
algorithm = MergeSort3Way, size = 1, seed = 6, time = 1301 ms
algorithm = MergeSort3Way, size = 1, seed = 7, time = 1222 ms
algorithm = MergeSort3Way, size = 1, seed = 8, time = 1260 ms
algorithm = MergeSort3Way, size = 1, seed = 9, time = 1218 ms
algorithm = MergeSort3Way, size = 2, seed = 0, time = 2568 ms
algorithm = MergeSort3Way, size = 2, seed = 1, time = 2563 ms
algorithm = MergeSort3Way, size = 2, seed = 2, time = 2537 ms
algorithm = MergeSort3Way, size = 2, seed = 3, time = 2745 ms
algorithm = MergeSort3Way, size = 2, seed = 4, time = 2541 ms
algorithm = MergeSort3Way, size = 2, seed = 5, time = 2630 ms
algorithm = MergeSort3Way, size = 2, seed = 6, time = 2622 ms
algorithm = MergeSort3Way, size = 2, seed = 7, time = 2610 ms
algorithm = MergeSort3Way, size = 2, seed = 8, time = 2572 ms
algorithm = MergeSort3Way, size = 2, seed = 9, time = 2632 ms
algorithm = MergeSort3Way, size = 3, seed = 0, time = 5394 ms
algorithm = MergeSort3Way, size = 3, seed = 1, time = 5465 ms
algorithm = MergeSort3Way, size = 3, seed = 2, time = 5474 ms
algorithm = MergeSort3Way, size = 3, seed = 3, time = 5585 ms
algorithm = MergeSort3Way, size = 3, seed = 4, time = 5617 ms
algorithm = MergeSort3Way, size = 3, seed = 5, time = 5417 ms
algorithm = MergeSort3Way, size = 3, seed = 6, time = 5476 ms
algorithm = MergeSort3Way, size = 3, seed = 7, time = 5260 ms
algorithm = MergeSort3Way, size = 3, seed = 8, time = 5295 ms
algorithm = MergeSort3Way, size = 3, seed = 9, time = 5287 ms
algorithm = MergeSort3Way, size = 4, seed = 0, time = 11123 ms
algorithm = MergeSort3Way, size = 4, seed = 1, time = 11049 ms
algorithm = MergeSort3Way, size = 4, seed = 2, time = 11170 ms
algorithm = MergeSort3Way, size = 4, seed = 3, time = 11158 ms
algorithm = MergeSort3Way, size = 4, seed = 4, time = 11044 ms
algorithm = MergeSort3Way, size = 4, seed = 5, time = 10762 ms
algorithm = MergeSort3Way, size = 4, seed = 6, time = 11035 ms
algorithm = MergeSort3Way, size = 4, seed = 7, time = 11073 ms
algorithm = MergeSort3Way, size = 4, seed = 8, time = 11008 ms
algorithm = MergeSort3Way, size = 4, seed = 9, time = 11006 ms
algorithm = MergeSort3Way, size = 5, seed = 0, time = 23670 ms
algorithm = MergeSort3Way, size = 5, seed = 1, time = 23569 ms
algorithm = MergeSort3Way, size = 5, seed = 2, time = 22648 ms
algorithm = MergeSort3Way, size = 5, seed = 3, time = 22737 ms
algorithm = MergeSort3Way, size = 5, seed = 4, time = 22844 ms
algorithm = MergeSort3Way, size = 5, seed = 5, time = 22972 ms
algorithm = MergeSort3Way, size = 5, seed = 6, time = 22501 ms
algorithm = MergeSort3Way, size = 5, seed = 7, time = 22280 ms
algorithm = MergeSort3Way, size = 5, seed = 8, time = 22363 ms
algorithm = MergeSort3Way, size = 5, seed = 9, time = 21919 ms
algorithm = MergeSort3Way, size = 6, seed = 0, time = 2496 ms
